Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Ethiopia,ETH,20600,26624,68131,71166,83940,94330,99263,110971,119542,72194,99415,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Fiji,FJI,23500,57776,11748,19140,19487,20906,21855,24134,25859,10450,5791,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Finland,FIN,93400,145174,138987,140256,153849,162119,118856,125804,131089,47394,42598,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,France,FRA,441700,811776,641440,610197,607168,599427,599256,597412,598374,268744,332174,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Gabon,GAB,10400,7445,0,..,2765,2305,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Gambia, The",GMB,..,..,1788,1848,35,440,625,1116,1136,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Georgia,GEO,..,1906,2933,3317,3959,3199,5061,7108,6587,774,1000,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Germany,DEU,344200,738297,954874,946082,967453,962803,955827,922648.643490196,896647.181,312142,368400,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Ghana,GHA,12600,4873,16560,16764,20539,21628,21224,11635,15617,8941,13321,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Greece,GRC,79600,108584,103800,134160,124014,128454,135281,144040,151848,75393,108338,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Guatemala,GTM,3400,..,2556,2214,3012,3102,3577,3205,2623,673.09,48,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Guinea,GIN,1100,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Guinea-Bissau,GNB,1200,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Guyana,GUY,3800,418,0,0,..,..,..,1931,1578,1502,624,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Haiti,HTI,800,..,..,..,..,..,..,..,..,1563,1563,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Honduras,HND,17100,..,26796,24216,24813,24315,9482,14832,13146,..,14225,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Hong Kong SAR, China",HKG,..,79182,199639,215562,228582,235581,243518,245146,242173,70874,55653,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Hungary,HUN,18900,32297,103080,123708,145492,137605,158454,183541,213664,106938,130120,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Iceland,ISL,18300,12589,26643,28979,35558,41022,50389,54653.3025910987,35823,13594,24518,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,India,IND,125800,198426,689094,724541.12,787998,917625,1029426,1200111.363,1209803,583142,739481,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Indonesia,IDN,205400,159027,576000,675005.895378656,682389,823735,892801,959307.381,808265,425057.604,348232,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Iran, Islamic Rep.",IRN,39900,82610,161029,162563.374175832,133663,159754,225399.088,207096,186006,132936.795,157785.876,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Iraq,IRQ,7800,..,4332,4332,12805,10579,18509.38,48355,60540,9809,20505,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Ireland,IRL,79500,145457,641412,658512,718059,836293,883323,935913,967456,369019,493773,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Israel,ISR,29500,56427,46644,49177,49020,50548,50330,53901,49276,12221,23090,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Italy,ITA,229400,367584,258027,264899,273462,277671,243811,251621,260599,99250,37123,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Jamaica,JAM,21300,16577,492,953,997,1128,1181,1215.272,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Japan,JPN,476000,645087,915542.658,927666,956015,984320,1035522,999594,1018436,659764,657016,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Jordan,JOR,14100,16447,38998,38386,36622,38161,36946,36127,36550,10108,19200,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Kazakhstan,KAZ,..,8041,66108,71220,72486,73188,83048,66693,89436,55358,72454,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Kenya,KEN,13000,29080,98244,90625,96749,99428,117027,134354.484622134,138192,33178,50778,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Kiribati,KIR,2900,..,..,..,..,..,5005,5005,4388,3751.74,3312.786,..
